Town,Precinct,CD,Biden,Trump,Total,Other
Woonsocket,Woonsocket 3909,1,849,830,1699,20
Woonsocket,Woonsocket 3910,1,828,837,1693,28
Woonsocket,Woonsocket 3911,1,756,576,1348,16
Woonsocket,Woonsocket 3912,1,626,473,1117,18
Woonsocket,Woonsocket Limited,1,1,1,2,0
Woonsocket,Woonsocket Presidential,1,124,135,263,4
,,,,,,
Providence (pt.),Providence Presidential,1,440,84,528,4
Providence (pt.),Providence Presidential,2,309,91,404,4
,,,,,,
Barrington,Barrington,1,38,2,40,0
Bristol,Bristol,1,34,3,37,0
Burrillville,Burrillville,2,12,1,13,0
Central Falls,Central Falls,1,15,1,16,0
Charlestown,Charlestown,2,10,1,11,0
Coventry,Coventry,2,31,3,34,0
Cranston,Cranston,2,79,4,83,1
Cumberland,Cumberland,1,53,6,60,0
East Greenwich,East Greenwich,2,18,1,19,0
East Providence,East Providence,1,72,5,78,1
Exeter,Exeter,2,7,1,7,0
Foster,Foster,2,4,0,5,0
Glocester,Glocester,2,9,1,10,0
Hopkinton,Hopkinton,2,8,1,9,0
Jamestown,Jamestown,1,14,1,15,0
Johnston,Johnston,2,23,2,26,0
Lincoln,Lincoln,1,33,4,37,0
Little Compton,Little Compton,1,7,1,8,0
Middletown,Middletown,1,27,2,29,0
Narragansett,Narragansett,2,18,1,19,0
New Shoreham,New Shoreham,2,3,0,3,0
Newport,Newport,1,39,2,41,0
North Kingstown,North Kingstown,2,36,2,38,0
North Providence,North Providence,1,46,5,52,0
North Smithfield,North Smithfield,1,17,2,20,0
Pawtucket,Pawtucket,1,89,5,94,1
Portsmouth,Portsmouth,1,33,3,36,0
Providence (pt.),Providence (pt.),1,133,3,137,1
Providence (pt.),Providence (pt.),2,65,1,66,0
Richmond,Richmond,2,8,1,9,0
Scituate,Scituate,2,9,1,10,0
Smithfield,Smithfield,1,27,4,31,0
South Kingstown,South Kingstown,2,38,1,40,0
Tiverton,Tiverton,1,25,3,28,0
Warren,Warren,1,17,2,19,0
Warwick,Warwick,2,88,5,94,1
West Greenwich,West Greenwich,2,6,1,6,0
West Warwick,West Warwick,2,25,2,27,0
Westerly,Westerly,2,24,1,26,0
Woonsocket,Woonsocket,1,36,4,40,0
,,,,,,
Federal Only,Federal Precinct #1,1,526,42,572,4
Federal Only,Federal Precinct #1S,1,230,14,245,1
Federal Only,Federal Precinct #2,2,474,26,505,5
Federal Only,Federal Precinct #2S,2,46,3,49,0
