County,ShortName,CD,Biden,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Zapata,Zapata,28,"1,826","2,033","3,874",,,,,,,,,,,,,,,,,,,,,
Zavala,Zavala,23,"2,864","1,490","4,379",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Split Counties,,,,,,,,,,,,,,,,,,,,,,,,,
Bastrop (pt.),Bastrop,10,"9,144","11,577","21,109",388,,,,,,,,,,,,,,,,,,,,
Bastrop (pt.),Bastrop,17,171,343,520,6,,,,,,,,,,,,,,,,,,,,
Bastrop (pt.),Bastrop,27,"6,159","8,596","15,020",265,,,,,,,,,,,,,,,,,,,,
Bell (pt.),Bell,25,"8,210","3,526","11,997",261,,,,,,,,,,,,,,,,,,,,
Bell (pt.),Bell,31,"48,804","64,367","115,330","2,159",,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,20,"176,738","96,366","277,419","4,315",,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,21,"72,610","68,364","143,136","2,162",,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,23,"83,553","76,319","162,123","2,251",,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,28,"40,711","33,353","75,332","1,268",,,,,,,,,,,,,,,,,,,,
Bexar (pt.),Bexar,35,"74,030","33,668","109,317","1,619",,,,,,,,,,,,,,,,,,,,
Brazoria (pt.),Brazoria,14,"19,715","44,480","65,178",983,,,,,,,,,,,,,,,,,,,,
Brazoria (pt.),Brazoria,22,"42,513","45,953","89,760","1,294",,,,,,,,,,,,,,,,,,,,
Caldwell (pt.),Caldwell,27,"3,011","4,970","8,098",117,,,,,,,,,,,,,,,,,,,,
Caldwell (pt.),Caldwell,35,"3,661","3,061","6,842",120,,,,,,,,,,,,,,,,,,,,
Collin (pt.),Collin,3,"209,859","214,359","430,583","6,365",,,,,,,,,,,,,,,,,,,,
Collin (pt.),Collin,4,"8,713","22,564","31,759",482,,,,,,,,,,,,,,,,,,,,
Collin (pt.),Collin,32,"12,373","15,395","28,242",474,,,,,,,,,,,,,,,,,,,,
Comal (pt.),Comal,21,"18,161","52,541","71,642",940,,,,,,,,,,,,,,,,,,,,
Comal (pt.),Comal,35,"6,665","10,199","17,221",357,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,5,"68,215","41,624","111,530","1,691",,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,24,"85,623","56,413","144,246","2,210",,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,26,113,121,239,5,,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,30,"212,373","50,270","266,014","3,371",,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,32,"175,546","136,549","316,968","4,873",,,,,,,,,,,,,,,,,,,,
Dallas (pt.),Dallas,33,"56,706","22,099","79,957","1,152",,,,,,,,,,,,,,,,,,,,
Denton (pt.),Denton,24,"34,341","27,070","62,304",893,,,,,,,,,,,,,,,,,,,,
Denton (pt.),Denton,26,"154,354","195,410","355,384","5,620",,,,,,,,,,,,,,,,,,,,
El Paso (pt.),ElPaso,16,"160,809","77,473","242,067","3,785",,,,,,,,,,,,,,,,,,,,
El Paso (pt.),ElPaso,23,"17,317","6,858","24,581",406,,,,,,,,,,,,,,,,,,,,
Erath (pt.),Erath,11,"1,468","7,668","9,279",143,,,,,,,,,,,,,,,,,,,,
Erath (pt.),Erath,25,"1,448","6,016","7,574",110,,,,,,,,,,,,,,,,,,,,
Floyd (pt.),Floyd,13,157,698,862,7,,,,,,,,,,,,,,,,,,,,
Floyd (pt.),Floyd,19,281,886,"1,177",10,,,,,,,,,,,,,,,,,,,,
Fort Bend (pt.),FortBend,9,"53,671","15,572","69,952",709,,,,,,,,,,,,,,,,,,,,
Fort Bend (pt.),FortBend,22,"141,881","142,146","287,437","3,410",,,,,,,,,,,,,,,,,,,,
Gonzales (pt.),Gonzales,27,"1,502","3,863","5,421",56,,,,,,,,,,,,,,,,,,,,
Gonzales (pt.),Gonzales,34,446,"1,764","2,226",16,,,,,,,,,,,,,,,,,,,,
Guadalupe (pt.),Guadalupe,15,"22,650","39,257","62,890",983,,,,,,,,,,,,,,,,,,,,
Guadalupe (pt.),Guadalupe,35,"6,155","8,296","14,702",251,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,2,"170,430","174,980","350,446","5,036",,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,7,"170,060","143,176","317,555","4,319",,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,8,"16,629","25,484","42,720",607,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,9,"125,237","39,372","166,264","1,655",,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,10,"65,714","101,390","169,558","2,454",,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,18,"189,823","57,669","250,836","3,344",,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,22,"21,720","21,912","44,291",659,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,29,"106,229","52,937","161,080","1,914",,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,36,"52,351","83,710","138,021","1,960",,,,,,,,,,,,,,,,,,,,
Hays (pt.),Hays,21,"14,978","12,991","28,579",610,,,,,,,,,,,,,,,,,,,,
Hays (pt.),Hays,25,"15,727","19,563","35,849",559,,,,,,,,,,,,,,,,,,,,
Hays (pt.),Hays,35,"28,582","14,933","44,488",973,,,,,,,,,,,,,,,,,,,,
Hidalgo (pt.),Hidalgo,15,"89,514","61,840","152,790","1,436",,,,,,,,,,,,,,,,,,,,
Hidalgo (pt.),Hidalgo,28,"20,107","16,220","36,656",329,,,,,,,,,,,,,,,,,,,,
Hidalgo (pt.),Hidalgo,34,"18,578","12,467","31,406",361,,,,,,,,,,,,,,,,,,,,
LaSalle (pt.),LaSalle,23,912,"1,170","2,098",16,,,,,,,,,,,,,,,,,,,,
LaSalle (pt.),LaSalle,28,140,165,308,3,,,,,,,,,,,,,,,,,,,,
Lee (pt.),Lee,10,"1,220","4,125","5,390",45,,,,,,,,,,,,,,,,,,,,
Lee (pt.),Lee,17,530,"2,130","2,696",36,,,,,,,,,,,,,,,,,,,,
Leon (pt.),Leon,8,506,"3,582","4,119",31,,,,,,,,,,,,,,,,,,,,
